Common Name,Scientific Name,Continentality,Seasonality,Germination Time,Growth Time (days),N-P-K Ratio,Preferred pH,Row Space (in.),Plant Space (in.),Planting Depth (in.),Inches of Water (Weekly),Water Frequency (days)
Sweet Corn,Zea mays,North America,Summer,7-14 ,60-90 ,5-10-10,6.0-6.8,36,12,1,1.5-2,3-5
Sweet Potato,Ipomoea batatas,South America,Summer,14-21 ,90-120 ,5-10-10,5.5-6.5,36,12,4,1-1.5,7-10
Tabasco Pepper,Capsicum frutescens,South America,Summer,7-14 ,80-100 ,5-10-10,6.0-6.8,24,18,0.25,1-1.5,5-7
Taro,Colocasia esculenta,Asia,"Spring, Summer",14-21 ,180-240 ,5-10-10,5.5-6.5,36,24,2,1.5-2,3-5
Tat Soi,Brassica rapa,Asia,"Spring, Fall",7-14 ,45-60 ,10-5-5,6.0-7.0,12,6,0.25,1-1.5,3-5
Thyme,Thymus vulgaris,Europe,Spring,14-21 ,365-730 ,5-5-5,6.0-7.0,12,6,0.25,0.5-1,7-10
Tomatillo,Physalis philadelphica,Central America,Summer,7-14 ,75-100 ,5-10-10,6.0-6.8,36,24,0.25,1-1.5,5-7
Tomato,Solanum lycopersicum,South America,Summer,7-14 ,60-90 ,5-10-5,6.0-6.8,36,24,0.5,1.5-2,3-5
Topinambur,Helianthus tuberosus,North America,"Spring, Fall",14-21 ,120-150 ,5-10-10,6.0-7.0,36,24,2,1-1.5,7-10
Torpedo Onion,Allium cepa,Asia,"Spring, Fall",7-14 ,100-120 ,5-10-10,6.0-7.0,12,4,0.5,1-1.5,7-10
Turnip,Brassica rapa,Europe,"Spring, Fall",7-14 ,50-60 ,5-10-10,6.0-7.0,12,4,0.5,1-1.5,5-7
Ube,Dioscorea alata,Asia,Summer,14-21 ,180-300 ,5-10-10,5.5-6.5,48,36,4,1.5-2,3-5
Udupi Mattu Gulla Eggplant,Solanum melongena,Asia,Summer,7-14 ,70-85 ,5-10-10,6.0-6.8,36,24,0.25,1.5-2,3-5
Ulluco,Ullucus tuberosus,South America,"Spring, Summer",14-21 ,180-240 ,5-10-10,5.5-6.5,24,12,2,1-1.5,7-10
Upland Cress,Barbarea verna,Europe,"Spring, Fall",7-14 ,50-60 ,10-5-5,6.0-7.0,12,6,0.25,1-1.5,3-5
Urad Bean,Vigna mungo,Asia,Summer,7-14 ,90-120 ,5-10-10,6.0-7.0,24,4,1,1-1.5,5-7
Velvet Bean,Mucuna pruriens,Africa,Summer,7-14 ,120-150 ,5-10-10,6.0-7.0,36,24,1,1-1.5,5-7
Vidalia Onion,Allium cepa,Asia,"Spring, Fall",7-14 ,100-120 ,5-10-10,6.0-7.0,12,4,0.5,1-1.5,7-10
Vitelotte Potato,Solanum tuberosum,South America,Spring,14-21 ,90-120 ,10-10-10,4.8-5.5,36,12,4,1.5-2,5-7
Vivaldi Potato,Solanum tuberosum,South America,Spring,14-21 ,90-120 ,10-10-10,4.8-5.5,36,12,4,1.5-2,5-7
Wasabi,Eutrema japonicum,Asia,"Spring, Fall",14-21 ,540-720 ,5-5-5,6.0-7.0,12,8,0.25,1.5-2,3-5
Water Chestnut,Eleocharis dulcis,Asia,"Spring, Summer",14-21 ,180-240 ,5-10-10,5.5-6.5,24,12,1,1.5-2,3-5
Watercress,Nasturtium officinale,Europe,"Spring, Fall",7-14 ,55-70 ,10-5-5,6.0-7.0,12,6,0.25,1.5-2,3-5
Wax Bean,Phaseolus vulgaris,South America,Summer,7-14 ,50-60 ,5-10-10,6.0-7.0,24,4,1,1-1.5,5-7
White 7 Pot Pepper,Capsicum chinense,South America,Summer,7-14 ,120-150 ,5-10-10,6.0-6.8,24,18,0.25,1-1.5,5-7
White Asparagus,Asparagus officinalis,Europe,Spring,7-10 ,730-1095 ,5-10-10,6.0-6.8,48,18,1,1.5-2,5-7
White Bell Pepper,Capsicum annuum,South America,Summer,7-14 ,70-90 ,5-10-10,6.0-6.8,24,18,0.25,1-1.5,5-7
White Corn,Zea mays,North America,Summer,7-14 ,60-90 ,5-10-10,6.0-6.8,36,12,1,1.5-2,3-5
Xà Lách,Lactuca sativa,Asia,"Spring, Fall",7-14 ,45-60 ,10-5-5,6.0-7.0,12,8,0.25,1-1.5,3-5
Xanthosoma Brasiliense,Xanthosoma brasiliense,South America,"Spring, Summer",14-21 ,240-300 ,5-10-10,5.5-6.5,36,24,2,1.5-2,3-5
Xanthosoma Sagittifolium,Xanthosoma sagittifolium,South America,"Spring, Summer",14-21 ,240-300 ,5-10-10,5.5-6.5,36,24,2,1.5-2,3-5
Xi Lan Hua,Brassica oleracea,Asia,"Spring, Fall",7-14 ,60-80 ,10-5-5,6.0-7.0,18,12,0.5,1.5-2,5-7
Xi Yang Ca,Brassica rapa,Asia,"Spring, Fall",7-14 ,45-60 ,10-5-5,6.0-7.0,12,6,0.25,1-1.5,3-5
Yam,Dioscorea,Africa,Summer,14-21 ,180-300 ,5-10-10,5.5-6.5,48,36,4,1.5-2,3-5
Yellow Onion,Allium cepa,Asia,"Spring, Fall",7-14 ,100-120 ,5-10-10,6.0-7.0,12,4,0.5,1-1.5,7-10
Yellow Summer Squash,Cucurbita pepo,North America,Summer,7-10 ,50-60 ,5-10-10,6.0-6.8,36,24,1,1.5-2,3-5
Yellow Tomato,Solanum lycopersicum,South America,Summer,7-14 ,75-85 ,5-10-5,6.0-6.8,36,24,0.5,1.5-2,3-5
Yukon Gold Potato,Solanum tuberosum,South America,Spring,14-21 ,90-120 ,10-10-10,4.8-5.5,36,12,4,1.5-2,5-7
Zephyr Squash,Cucurbita pepo,North America,Summer,7-10 ,50-60 ,5-10-10,6.0-6.8,36,24,1,1.5-2,3-5
Zucchini,Cucurbita pepo,North America,Summer,7-10 ,50-60 ,5-10-10,6.0-6.8,36,24,1,1.5-2,3-5
